packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
201921018484,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,23265,253,6,TCP,13894,34.218.119.33,172.31.15.212
201921018485,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,15421,255,6,TCP,25832,172.31.15.212,34.218.119.33
201921018486,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,15677,255,6,TCP,23528,172.31.15.212,34.218.119.33
201921018487,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,23521,253,6,TCP,28998,34.218.119.33,172.31.15.212
201921018488,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,23777,253,6,TCP,28742,34.218.119.33,172.31.15.212
201921018489,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,24033,253,6,TCP,13126,34.218.119.33,172.31.15.212
201921018481,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,15933,255,6,TCP,25320,172.31.15.212,34.218.119.33
201921018482,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,16189,255,6,TCP,23016,172.31.15.212,34.218.119.33
201921018483,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,24289,253,6,TCP,28230,34.218.119.33,172.31.15.212
201921018484,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,24545,253,6,TCP,27974,34.218.119.33,172.31.15.212
201921018485,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,24801,253,6,TCP,12358,34.218.119.33,172.31.15.212
201921018486,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,16445,255,6,TCP,24808,172.31.15.212,34.218.119.33
201921018487,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,16701,255,6,TCP,22504,172.31.15.212,34.218.119.33
201921018488,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,25057,253,6,TCP,27462,34.218.119.33,172.31.15.212
