eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,45568,52869,56,6,18235,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,18328,64,6,19489,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,45568,18584,64,6,52512,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,26368,53125,56,6,37179,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,40448,18840,64,6,57376,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,56325,53381,56,6,6966,165.227.24.253,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,56325,53637,56,6,6710,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,19096,64,6,18721,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,57859,53893,56,6,4920,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,21248,19352,64,6,10529,192.168.1.168,165.227.24.253
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,19608,64,6,18209,192.168.1.168,165.227.24.253
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,23942,128,17,32558,192.168.1.158,192.168.1.255
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,21248,54149,56,6,41275,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,10240,3065,64,6,37824,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13312,54405,56,6,48955,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,10240,3321,64,6,37568,192.168.1.168,165.227.24.253
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,0,13312,54661,56,6,48699,165.227.24.253,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,10240,3577,64,6,37312,192.168.1.168,165.227.24.253
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,24454,128,17,32046,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,24966,128,17,31534,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,25222,128,17,31278,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,25478,128,17,31022,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,25990,128,17,30510,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,26246,128,17,30254,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,27014,128,17,29486,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,27526,128,17,28974,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,28038,128,17,28462,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,28294,128,17,28206,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,29062,128,17,27438,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,29318,128,17,27182,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,29574,128,17,26926,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,29830,128,17,26670,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,30086,128,17,26414,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,30854,128,17,25646,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,31110,128,17,25390,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,31366,128,17,25134,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,31622,128,17,24878,192.168.1.158,192.168.1.255
